Category,Item,Specification,Quantity,Purpose,Selection notes,Substitution constraints,Field verification,Chapter
Lumber,Owner-labeled door stock A-O,A current usable length 72-3/4 inches; B-F/H-K rough-sawn envelopes except G is confirmed S4S at 15/16 x 4-1/2 x 75; L width 6 inches; M finished 3/4 x 8-1/4 x 99; N/O each finished 1-3/4 x 11 x 74; LS-05 no-resaw map,IN HAND - approximately 71.52 BF from all boards with recorded dimensions; STOCK-G confirmed 15/16 x 4-1/2 x 75; no door-lumber purchase released,"all frame layers, five panels, same-layup coupons, setup pieces, substitutions, and repair reserve","preserve long boards until CHK-RS-01; G thickness/width/length pass, but CHK-P-01 still controls its four-stave panel map; verify M and use it for D-101H while keeping A intact; keep N/O full; prove every jointed, width-ripped, staged-planed, and rested billet","no resawing, no end-jointed structural layer, no stile narrower than 4-1/4 inches, no cross-grain layer, and no transfer to moulding before final door release","LS-05 CHK-RS-01, CHK-ST-01/02, CHK-SM-01, CHK-FP-01, CHK-P-01, CHK-LAM-01, and CHK-SEAM-01",30/40/50/70
Moulding stock,Two-face casing and one stop set,"S4S quarter-sawn white oak, 4/4 x nominal 6 inches x 8 feet; 13/16-inch actual thickness preferred and never less than 3/4 inch at the thinnest point",7 boards,"four side casings, both head casings, one full-length casing spare/match board, and one three-piece stop mother blank",buy color- and grain-matched stock long enough for the completed-opening field formulas,"4/4 means four-quarter thickness, not 4 x 4; does not yield the 1-inch finished backband",two trimmed faces; no plinths included; field worksheet controls final cuts,220
Moulding stock,Two-face backband and optional square-head caps,"S4S quarter-sawn white oak, 6/4 x nominal 6 inches x 8 feet; minimum actual 1-1/4 x 5-1/2 x 96 inches",2 boards,four side backbands and two head backbands; also yields two optional caps only if square-head field evidence supports them,one board per face; confirm 1-inch finished backband yield before purchase,4/4 is too thin for the specified 1-inch backband; no plinth stock included,two trimmed faces; field evidence controls caps,220
Domino,Factory beech tenons,10 x 50 mm,60 total: 26 final + 26 retained test + 8 spare,rail-to-stile joints,"segregate final, test, and spare stock",DF 500 compatible only,fit on test pieces,100-140
Domino,Factory beech tenons,6 x 40 mm,12 total: 4 final + 4 retained test + 4 spare,muntin joints,"segregate final, test, and spare stock",no random scrap tenons,fit on test pieces,140
Domino,Cutters,sharp 10 mm and 6 mm DF 500 cutters,1 each,mortising,inspect edge and shank,not DF 700 cutters,test cut,100
Hardware,Mortise lock set,"traditional brass, complete with strike and knobs",1 set,latching and privacy,physical sample required,no invented dimensions,all dimensions,210
Hardware,Butt hinges,"3-1/2-inch brass, loose-pin or period-compatible",3,hanging,matching visible screws,leaf thickness field-gated,actual leaves/screws,200
Adhesive,Type II PVA,"fresh, within shelf life; manufacturer-approved for full-area oak lamination",32 oz minimum planning quantity; verify coverage against the actual layup area,"core/face-sheet edge glue-ups, balanced frame laminations, and panel edge glue-ups","verify spread rate, open time, clamp pressure, temperature, and cure on same-layup coupons",no polyurethane foaming adhesive; do not combine adhesive systems within a member,"shop temperature, moisture, coupon failure mode, and actual coverage",50/70/170
Panel control,3/4-inch-long foam panel spacers,"oil- and silicone-free open-cell foam; record manufacturer/SKU/cross-section/firmness; PB265-750XF-1M is a reference candidate only, not preapproved",30 controlled minimum: 20 installed + 10 test/spare; order 40 for a practical one-trip reserve,anti-rattle control; two per vertical side groove only,"0.750 inch is longitudinal length; separately release full-size H/J/N and K/L samples for compression, residual travel, no joint stress, recovery, and finish compatibility","do not widen the groove, replace calculated clearance, use rigid packing, or infer one-family approval from the other","measure spacer-zone groove; PB265 requires 0.220-0.250 inch or written manufacturer approval, plus two-family gates",150/160
Finish,Rubio Monocoat Oil Plus 2C,Pure,350 mL set,door and trim,make sample first,follow current TDS,color match,230
Consumables,Abrasives,P80/P100/P120 discs and hand sheets,shop pack,surface preparation,"fresh, clean abrasive",stop at P120 unless current TDS differs,surface sample,180/230
Jig materials,MDF-free stable plywood,1/2 and 3/4 inch Baltic birch,"dimensioned shop offcuts; if unavailable, buy one half-sheet of each required thickness","story sticks, supports, templates",flat and dry,jigs only; not door components,machine fit,60/80
Safety,Oily-waste container,lidded metal can or water-filled sealed metal container,1,combustion control,label before finishing,required,local disposal rules,230
