Joint ID,Joint family,Part A,Part B,Domino model,Cutter diameter,Tenon dimensions,Number of tenons,Plunge depth Part A,Plunge depth Part B,Fence height,Fence angle,Mortise-width setting Part A,Mortise-width setting Part B,Tight or loose designation Part A,Tight or loose designation Part B,Tenon centerline Part A from reference edge,Tenon centerline Part B from reference edge,Reference face,Reference edge Part A,Reference edge Part B,Test-piece identifier,Dry-fit result,Final verification status,Notes
J-01,Top rail to hinge stile,D-101C,D-101A,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L","T,L",1.2500 in; 2.7500 in,1.2500 in; 2.7500 in,show face,top/left marked reference,finished top of stile,TP-01,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-02,Top rail to lock stile,D-101C,D-101B,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L","T,L",1.2500 in; 2.7500 in,1.2500 in; 2.7500 in,show face,top/left marked reference,finished top of stile,TP-02,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-03,Upper intermediate rail to hinge stile,D-101M,D-101A,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L","T,L",1.2500 in; 2.7500 in,19.5000 in; 21.0000 in,show face,top/left marked reference,finished top of stile,TP-03,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-04,Upper intermediate rail to lock stile,D-101M,D-101B,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L","T,L",1.2500 in; 2.7500 in,19.5000 in; 21.0000 in,show face,top/left marked reference,finished top of stile,TP-04,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-05,Lock rail to hinge stile,D-101D,D-101A,DF 500,10 mm,10 x 50 mm,3,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L,L","T,L,L",1.2500 in; 3.5000 in; 5.7500 in,38.2500 in; 40.5000 in; 42.7500 in,show face,top/left marked reference,finished top of stile,TP-05,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-06,Lock rail to lock stile,D-101D,D-101B,DF 500,10 mm,10 x 50 mm,3,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L,L","T,L,L",1.2500 in; 3.5000 in; 5.7500 in,38.2500 in; 40.5000 in; 42.7500 in,show face,top/left marked reference,finished top of stile,TP-06,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; D-101D seams core/show/back 2.250/4.375/4.875 in from top +/-1/32; physical lock envelope plus 0.250 in clear wood must pass before J-06; frame rail web to groove >=0.150 in
J-07,Lower intermediate rail to hinge stile,D-101E,D-101A,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L","T,L",1.2500 in; 2.7500 in,54.7500 in; 56.2500 in,show face,top/left marked reference,finished top of stile,TP-07,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-08,Lower intermediate rail to lock stile,D-101E,D-101B,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L","T,L",1.2500 in; 2.7500 in,54.7500 in; 56.2500 in,show face,top/left marked reference,finished top of stile,TP-08,required before production,design verified; shop verification pending,balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; stile grooves stopped; frame rail web to groove >=0.150 in where applicable
J-09,Bottom rail to hinge stile,D-101F,D-101A,DF 500,10 mm,10 x 50 mm,4,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L,L,L","T,L,L,L",1.2500 in; 4.0000 in; 7.5000 in; 10.7500 in,69.7500 in; 72.5000 in; 76.0000 in; 79.2500 in,show face,top/left marked reference,finished top of stile,TP-09,required before production,design verified; shop verification pending,"balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; D-101F core seam 5.750, show seams 3.000/6.500/9.500, back seams 2.500/5.000/9.000 in from top +/-1/32; stile grooves stopped; frame rail web to groove >=0.150 in where applicable"
J-10,Bottom rail to lock stile,D-101F,D-101B,DF 500,10 mm,10 x 50 mm,4,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,first tight; remaining medium,"T,L,L,L","T,L,L,L",1.2500 in; 4.0000 in; 7.5000 in; 10.7500 in,69.7500 in; 72.5000 in; 76.0000 in; 79.2500 in,show face,top/left marked reference,finished top of stile,TP-10,required before production,design verified; shop verification pending,"balanced 1/4+7/8+1/4 finished layup; retain >=0.200 in actual core wood to each face glue line; D-101F core seam 5.750, show seams 3.000/6.500/9.500, back seams 2.500/5.000/9.000 in from top +/-1/32; stile grooves stopped; frame rail web to groove >=0.150 in where applicable"
