ID,Source,URL,Use,Accessed
S-01,Festool DF 500 supplemental manual,https://www.festoolusa.com/-/media/tts/fcp/festool-usa/downloads/manuals/domino_df_500_supplemental.pdf,5/6/8/10 mm cutters; 28 mm max plunge; fence and safety,2026-07-24
S-02,Festool Domino System User Manual,https://www.festoolusa.com/-/media/tts/fcp/festool-usa/_archive/finalbook.pdf,tight/medium/wide mortise widths and locating strategy,2026-07-24
S-03,Festool DS tenon assortment,https://www.festoolusa.com/accessories/joining/accessories-for-joining/dominos/576794---ds-456810-1060-bu,DF 500 factory tenon sizes and beech material,2026-07-24
S-04,Hewitt-Lea-Funk Prize Plan Book (1915),https://dahp.wa.gov/sites/default/files/Hewitt_Lea_Funk_PrizePlanBook_1915.pdf,1-3/8-inch five-panel interior doors and mortise locks,2026-07-24
S-05,HABS Williams Cook House,https://tile.loc.gov/storage-services/master/pnp/habshaer/al/al0900/al0980/data/al0980data.pdf,five-panel doors described as typical of the period; 1916 context,2026-07-24
S-06,NPS Preservation Brief 18,https://www.nps.gov/orgs/1739/upload/preservation-brief-18-interiors.pdf,"retain character-defining proportions, trim, hardware, and finishes",2026-07-24
S-07,NPS Preservation Brief 35,https://www.nps.gov/orgs/1739/upload/preservation-brief-35-architectural-investigation.pdf,field investigation of trim ghosts and adjacent fabric,2026-07-24
S-08,OSHA 29 CFR 1910.213 Woodworking machinery requirements,https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.213,"guards, push tools, machine controls, and woodworking-machine safety baseline",2026-07-24
S-09,NIOSH Control of Wood Dust from Table Saws,https://www.cdc.gov/niosh/docs/hazardcontrol/hc10.html,local exhaust and wood-dust exposure control,2026-07-24
S-10,Rubio Monocoat Oil Plus 2C Technical Data Sheet,https://service.rubiomonocoat.com/hubfs/TDS%20Oil%20Plus%202C%20-%20EN-2.pdf?hsLang=en,"current surface preparation, mixing, application, dry, and cure controls",2026-07-24
S-11,DEWALT DWFP72155 Finish Nailer Instruction Manual,https://www.dewalt.com/GLOBALBOM/QU/DWFP72155/0/Instruction_Manual/EN/9R209197_DWFP72155.pdf,representative sequential-actuation and jam-clearing controls; actual nailer manual governs,2026-07-24
S-12,SawStop dado compatibility and safety FAQ,https://www.sawstop.com/why-sawstop/faqs/,"8-inch stacked dado, dado brake cartridge, zero-clearance insert, and prohibited dado types; actual saw manual governs",2026-07-24
S-13,Panel Buddies PB265-750XF-1M candidate,https://panelbuddies.com/products/pb265-750xf-1m,reference-candidate data only: 0.265 x 0.265 x 0.750-inch extra-firm open-cell foam spacer for 0.220-0.250-inch groove heights; project sample gates still control,2026-07-24
S-14,Panel Buddies manufacturer home page,https://panelbuddies.com/,manufacturer states Panel Buddies products are made to be compressed 50 percent; project geometry therefore requires separate full-width and lower-panel sample gates,2026-07-24
