Joint ID,Joint family,Part A,Part B,Domino model,Cutter diameter,Tenon dimensions,Number of tenons,Plunge depth Part A,Plunge depth Part B,Fence height,Fence angle,Mortise-width setting,Tight or loose designation,Tenon centerline from reference edge,Tenon centerline from joint shoulder,Reference face,Reference edge,Test-piece identifier,Dry-fit result,Final verification status,Notes
J-01,Top rail to hinge stile,D-101C,D-101A,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",1.1250 in; 2.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-01,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-02,Top rail to lock stile,D-101C,D-101B,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",1.1250 in; 2.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-02,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-03,Upper intermediate rail to hinge stile,D-101M,D-101A,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",1.1250 in; 2.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-03,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-04,Upper intermediate rail to lock stile,D-101M,D-101B,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",1.1250 in; 2.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-04,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-05,Lock rail to hinge stile,D-101D,D-101A,DF 500,10 mm,10 x 50 mm,3,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L,L",1.1250 in; 3.5000 in; 5.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-05,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-06,Lock rail to lock stile,D-101D,D-101B,DF 500,10 mm,10 x 50 mm,3,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L,L",1.1250 in; 3.5000 in; 5.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-06,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-07,Lower intermediate rail to hinge stile,D-101E,D-101A,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",1.1250 in; 2.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-07,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-08,Lower intermediate rail to lock stile,D-101E,D-101B,DF 500,10 mm,10 x 50 mm,2,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",1.1250 in; 2.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-08,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-09,Bottom rail to hinge stile,D-101F,D-101A,DF 500,10 mm,10 x 50 mm,4,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L,L,L",1.1250 in; 4.0000 in; 7.5000 in; 10.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-09,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-10,Bottom rail to lock stile,D-101F,D-101B,DF 500,10 mm,10 x 50 mm,4,25 mm,25 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L,L,L",1.1250 in; 4.0000 in; 7.5000 in; 10.8750 in,0 at butt shoulder,show face,top/left marked reference,TP-10,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-11,Center muntin to lower intermediate rail,D-101G,D-101E,DF 500,6 mm,6 x 40 mm,2,20 mm,20 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",0.9375 in; 2.0625 in,0 at butt shoulder,show face,top/left marked reference,TP-11,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
J-12,Center muntin to bottom rail,D-101G,D-101F,DF 500,6 mm,6 x 40 mm,2,20 mm,20 mm,17.5 mm,90 deg,first tight; remaining medium,"T,L",0.9375 in; 2.0625 in,0 at butt shoulder,show face,top/left marked reference,TP-12,required before production,design verified; shop verification pending,stile grooves stopped; factory beech tenons
