Part identifier,Part name,Quantity,Rough thickness,Rough width,Rough length,Finished thickness,Finished width,Finished length,Grain orientation,Board assignment,Domino-joint notes,Groove notes,Panel-opening relationship,Field-fit status,Chapter reference,Figure reference
D-101A,Hinge stile,1,1.5000,4.7500,81.0000,1.3750,4.5000,79.0000,vertical,B-01,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101B,Lock stile,1,1.5000,4.7500,81.0000,1.3750,4.5000,79.0000,vertical,B-01,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101C,Top rail,1,1.5000,4.2500,16.0000,1.3750,4.0000,15.0000,horizontal,B-01,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101M,Upper intermediate rail,1,1.5000,4.2500,16.0000,1.3750,4.0000,15.0000,horizontal,B-02,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101D,Lock rail,1,1.5000,7.2500,16.0000,1.3750,7.0000,15.0000,horizontal,B-02,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101E,Lower intermediate rail,1,1.5000,4.2500,16.0000,1.3750,4.0000,15.0000,horizontal,B-02,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101F,Bottom rail,1,1.5000,12.2500,16.0000,1.3750,12.0000,15.0000,horizontal,B-03,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101G,Center muntin,1,1.5000,3.2500,12.0000,1.3750,3.0000,11.0000,vertical,B-03,see Domino register,see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101H,Upper panel,1,0.6250,16.2500,14.9375,0.5000,15.7500,14.4375,vertical,B-03,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101J,Center panel,1,0.6250,16.2500,15.4375,0.5000,15.7500,14.9375,vertical,B-04,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101N,Lower-center panel,1,0.6250,16.2500,10.9375,0.5000,15.7500,10.4375,vertical,B-04,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101K,Lower-left panel,1,0.6250,7.3750,12.4375,0.5000,6.8750,11.9375,vertical,B-04,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101L,Lower-right panel,1,0.6250,7.3750,12.4375,0.5000,6.8750,11.9375,vertical,B-05,none,floating tongue both applicable edges,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
