Stock label,Raw thickness,Raw width,Raw length,First-crosscut status,Billet IDs,Quantity,First-crosscut length,Mill-to controlled rough length,Finished length reference,Purpose,Cuts now,Nominal uncut length before end reserve,Planning tail after shared end reserve,Later pattern,Full-pattern paper remainder,Hold / risk
STOCK-A,1,5.6875,72.75,NO CUT - KEEP FULL 72-3/4 INCHES AS RESERVE,,0,,,,Keep the original board intact,0,,,"Inspect and map the shortened board, then keep it intact as a D-101H substitution, short-face, coupon, setup, or repair reserve. Cut only under a signed remap if STOCK-M or another assigned source fails.",72.75,"Six inches are already charged to damage removal. STOCK-M now carries D-101H, so do not consume A preemptively."
STOCK-B,1,4.9375,85,NO CROSSCUT - KEEP FULL 85 INCHES,,0,,,,Keep the original board intact,0,,,"After CHK-ST-01, flatten and joint one continuous 4-3/8-inch lane, rest it, then plane the whole-thickness board in staged carrier-supported passes. Trim only after it proves the 5/16 x 4-3/8 x 81-1/8 D-101A show-face envelope.",3.75,The hinge-stile show face must remain continuous. Full-length clear yield and thin-stock carrier control must be proved before trimming.
STOCK-C,1,5.75,83.125,NO CROSSCUT - KEEP FULL 83-1/8 INCHES,,0,,,,Keep the original board intact,0,,,"After CHK-ST-01, establish one continuous 4-3/8-inch D-101B show-face lane and preserve its longitudinal width offcut for FP-05. Plane eligible pieces from whole thickness in staged carrier-supported passes; trim the stile face only after it proves 5/16 x 4-3/8 x 81-1/8.",1.875,"Only 2 inches of raw length exceed the face target. One 1/8-inch end cut leaves 1-7/8 inches for both squared ends, so actual clear length controls."
STOCK-D,1,5,73.75,CUT ONLY AFTER CHK-RS-01 + CHK-ST-01 + CHK-ST-02 PASS,"D-K1, D-K2, D-L1, D-L2",4,12.8125,12.3125,11.8125,D-101K and D-101L lower-panel staves; pair two per 7-3/8-inch rough-width panel,4,22,20,"Keep the tail intact. Only after both lower panels pass and FP-05 is signed, cut one clear 16-1/4-inch D-FACE mother billet and plane it from whole thickness to 5/16.",3.625,This is the tightest first-cut board; preserve the tail until both lower panels pass.
STOCK-E,1,5.75,75.5,NO CUT - KEEP FULL 75-1/2 INCHES,,0,,,,Keep the original board intact,0,,,"Photograph and map every knot, check, and clear zone. FP-05 provisionally assigns three clear 16-1/4-inch face mother billets here, but may shift billets between E and F while preserving at least five accepted billets combined.",24.375,Knot locations are unknown. No cut is released until five combined E/F clear envelopes and all face-strip destinations are signed.
STOCK-F,1,5.625,70.75,NO CUT - KEEP FULL 70-3/4 INCHES,,0,,,,Keep the original board intact,0,,,"Photograph and map every knot, check, and clear zone. FP-05 provisionally assigns two clear 16-1/4-inch face mother billets here, but may shift billets between F and E while preserving at least five accepted billets combined.",36,Knot locations are unknown. No cut is released until five combined E/F clear envelopes and all face-strip destinations are signed.
STOCK-G,0.9375,4.5,75,THICKNESS/WIDTH/LENGTH PASS - CUT ONLY AFTER CHK-P-01 + CHK-ST-01 + CHK-ST-02 PASS,"G-J1, G-J2, G-J3, G-J4",4,16.5625,16.0625,15.5625,D-101J center-panel staves for a 16-3/8-inch rough-width glue-up,4,8.25,6.25,"Retain the complete remainder for panel substitutions, same-stock coupons, setup pieces, or repair stock.",6.25,"The confirmed 15/16-inch S4S thickness exceeds the 5/8-inch minimum by 5/16 inch, and width/length pass. CHK-P-01 must still prove flatness, moisture, grain, defects, and four clear billet zones. Do not rip width; remove only enough from the S4S edges to make sound glue joints."
STOCK-H,0.875,5.75,79,CUT ONLY AFTER CHK-RS-01 + CHK-ST-01 + CHK-ST-02 PASS AND H THICKNESS / WARP SURVEY,"H-N1, H-N2, H-N3",3,11.3125,10.8125,10.3125,D-101N lower-center-panel staves for a 16-3/8-inch rough-width glue-up,3,44.6875,42.6875,"Keep the tail intact until all three panel billets dress to at least 5/8 inch. After D-101N passes and FP-05 is signed, cut up to two clear 16-1/4-inch H-FACE mother billets and plane them from whole thickness to 5/16.",9.9375,Raw thickness is only 7/8 inch. The panel has first claim; face-pool billets are conditional on the remaining clear tail.
STOCK-I,1.5,9.25,84.75,NO CROSSCUT - KEEP FULL 84-3/4 INCHES,,0,,,,Keep the original board intact,0,,,Pass CHK-ST-02 at full length and prove at least 8-7/8 inches of clear jointed width. Make one ordinary full-length width rip for two 4-3/8-inch lanes plus the 1/8-inch kerf. Plane one lane to the D-101B 7/8-inch core and the parallel lane to the D-101B 5/16-inch back face; face clear length is 81-1/8 and governs.,3.5,Both continuous lock-stile layers depend on the same board and on the 8-7/8-inch jointed-width gate. Crosscutting first destroys the approved two-lane strategy.
STOCK-J,1.3125,7,79.25,NO CUT UNTIL CHK-SM-01 AND SIGNED CM-05 CORE/OFFCUT MAP,,0,,,,Keep the original board intact,0,,,"After revised CM-05 proves one clear 6-1/2-inch jointed width envelope, cut three 16-1/4-inch mother billets for D-101C-CORE, D-101M-CORE, and the 6-1/2-inch D-101F-CORE wide stave, plus one 12-inch D-101G-CORE billet. Plane cores to 7/8 and retain every usable longitudinal width offcut for FP-05.",16,"J is now the only no-purchase source for the 6-1/2-inch F core stave displaced from L. The named core pattern, the clear 6-1/2-inch width envelope, and every credited offcut must be drawn, dimensioned, and signed before crosscutting."
