Rendering ID,Slug,SVG source,PNG preview,Purpose,Dimensional status,QC status
R-01,01-complete-system,cabinetmakers-guide/renderings/01-complete-system.svg,cabinetmakers-guide/renderings/01-complete-system.png,"Complete installed door, jamb, stop, casing, backband, and cap anatomy",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-02,02-exploded-door,cabinetmakers-guide/renderings/02-exploded-door.svg,cabinetmakers-guide/renderings/02-exploded-door.png,Exploded inventory and assembly relationships for all thirteen door parts,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-03,03-stock-milling,cabinetmakers-guide/renderings/03-stock-milling.svg,cabinetmakers-guide/renderings/03-stock-milling.png,"Exploded balanced frame layup, simultaneous pressing, symmetric surfacing, and D-101D/F seam maps",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-04,03a-machine-calibration,cabinetmakers-guide/renderings/03a-machine-calibration.svg,cabinetmakers-guide/renderings/03a-machine-calibration.png,"Same-layup calibration gate for finished layers, groove, and DF 500 core clearance",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-05,04-groove-panel-cutaway,cabinetmakers-guide/renderings/04-groove-panel-cutaway.svg,cabinetmakers-guide/renderings/04-groove-panel-cutaway.png,"Exact laminated-frame groove, tongue, bottom-clearance, corner-relief, and dry-panel geometry",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-06,04a-groove-setups,cabinetmakers-guide/renderings/04a-groove-setups.svg,cabinetmakers-guide/renderings/04a-groove-setups.png,Safe machining split between supported through-rail dado cuts and routed stopped grooves,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-07,05-rail-stile-joint,cabinetmakers-guide/renderings/05-rail-stile-joint.svg,cabinetmakers-guide/renderings/05-rail-stile-joint.png,"Standard DF 500 frame centers, groove web, tenons, and test-piece criteria",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-08,05a-df500-workholding,cabinetmakers-guide/renderings/05a-df500-workholding.svg,cabinetmakers-guide/renderings/05a-df500-workholding.png,"Rail-end and stile-edge DF 500 support, clamping, and reference orientation",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-09,05b-lock-envelope,cabinetmakers-guide/renderings/05b-lock-envelope.svg,cabinetmakers-guide/renderings/05b-lock-envelope.png,J-06 joinery overlay against field-measured mortise-lock envelope and clear-wood gate,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-10,06-lower-module,cabinetmakers-guide/renderings/06-lower-module.svg,cabinetmakers-guide/renderings/06-lower-module.png,"Stage A lower rail, muntin, and lower-panel subassembly",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-11,06a-muntin-clearance,cabinetmakers-guide/renderings/06a-muntin-clearance.svg,cabinetmakers-guide/renderings/06a-muntin-clearance.png,"J-11/J-12 nominal and worst-case mortise, web, and segmented-groove clearance",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-12,07-frame-loading,cabinetmakers-guide/renderings/07-frame-loading.svg,cabinetmakers-guide/renderings/07-frame-loading.png,Stage B loading order and parallel lock-stile closure,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-13,07a-full-dry-fit,cabinetmakers-guide/renderings/07a-full-dry-fit.svg,cabinetmakers-guide/renderings/07a-full-dry-fit.png,First and second whole-door dry-fit gates bracketing cured Stage A,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-14,08-clamp-geometry,cabinetmakers-guide/renderings/08-clamp-geometry.svg,cabinetmakers-guide/renderings/08-clamp-geometry.png,"Front/back clamp alternation, diagonal comparison, winding sticks, and acceptance",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-15,08a-glue-clock,cabinetmakers-guide/renderings/08a-glue-clock.svg,cabinetmakers-guide/renderings/08a-glue-clock.png,Signed adhesive open-time gate and Stage A lower-module bench staging,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-16,09-hanging-system,cabinetmakers-guide/renderings/09-hanging-system.svg,cabinetmakers-guide/renderings/09-hanging-system.png,Accurate five-panel slab orientation within the completed jamb,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-17,09a-jamb-fit-map,cabinetmakers-guide/renderings/09a-jamb-fit-map.svg,cabinetmakers-guide/renderings/09a-jamb-fit-map.png,"Three-width, three-height completed-jamb map and ordered slab fitting",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-18,09b-hinge-gain,cabinetmakers-guide/renderings/09b-hinge-gain.svg,cabinetmakers-guide/renderings/09b-hinge-gain.png,"Physical hinge-leaf transfer, gain depth, pin axis, and screw layout",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-19,09c-lock-strike,cabinetmakers-guide/renderings/09c-lock-strike.svg,cabinetmakers-guide/renderings/09c-lock-strike.png,Measured mortise-lock machining fields and strike transfer from the operating latch,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-20,10-moulding-layers,cabinetmakers-guide/renderings/10-moulding-layers.svg,cabinetmakers-guide/renderings/10-moulding-layers.png,"Installed relationship among door, stop, jamb, casing, and backband layers",Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
R-21,10a-moulding-milling,cabinetmakers-guide/renderings/10a-moulding-milling.svg,cabinetmakers-guide/renderings/10a-moulding-milling.png,Controlled rectangular moulding sections and safe milling sequence,Dimension-controlled from project/specification.yaml; field values remain blank where required,Rev. G generated; contact-sheet visual inspection required
