Part identifier,Part name,Quantity,Rough thickness,Rough width,Rough length,Finished thickness,Finished width,Finished length,Grain orientation,Board assignment,Domino-joint notes,Groove notes,Panel-opening relationship,Field-fit status,Chapter reference,Figure reference
D-101A,Hinge stile,1,1.5000,4.3750,81.1250,1.3750,4.2500,80.5000,vertical,STOCK-K + STOCK-B; K core and parallel back face; B show face; CHK-ST-01/02; CONDITIONAL - CRITICAL FULL-LENGTH YIELD; LS-05 CHK-ST-01/02; CHK-LAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101A-CORE,Hinge stile long-grain core sheet,1,0.8750,4.3750,81.0000,0.8750,4.3750,81.0000,continuous with member,K; one-piece core and continuous faces; no end or edge seam,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101A-SF,Hinge stile show-face lamella/sheet,1,0.3125,4.3750,81.1250,0.3125,4.3750,81.1250,continuous with member,B; one-piece core and continuous faces; no end or edge seam,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101A-BF,Hinge stile back-face lamella/sheet,1,0.3125,4.3750,81.1250,0.3125,4.3750,81.1250,continuous with member,K parallel lane; one-piece core and continuous faces; no end or edge seam,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101B,Lock stile,1,1.5000,4.3750,81.1250,1.3750,4.2500,80.5000,vertical,STOCK-I + STOCK-C; I core and parallel back face; C show face; CHK-ST-01/02; CONDITIONAL - CRITICAL FULL-LENGTH YIELD; LS-05 CHK-ST-01/02; CHK-LAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101B-CORE,Lock stile long-grain core sheet,1,0.8750,4.3750,81.0000,0.8750,4.3750,81.0000,continuous with member,I; one-piece core and continuous faces; no end or edge seam,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101B-SF,Lock stile show-face lamella/sheet,1,0.3125,4.3750,81.1250,0.3125,4.3750,81.1250,continuous with member,C; one-piece core and continuous faces; no end or edge seam,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101B-BF,Lock stile back-face lamella/sheet,1,0.3125,4.3750,81.1250,0.3125,4.3750,81.1250,continuous with member,I parallel lane; one-piece core and continuous faces; no end or edge seam,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
D-101C,Top rail,1,1.5000,4.2500,16.2500,1.3750,4.0000,15.2500,horizontal,STOCK-J  + STOCK- signed FP-05; J one-piece core plus paired one-piece-width faces from the signed pool; CHK-SM-01; CONDITIONAL - LAMINATED MEMBER; LS-05 CHK-SM-01; CHK-FP-01; CHK-LAM-01,see Domino register after lamination,machine only after CHK-LAM-01; see groove schedule,derived from specification,fixed; slab perimeter field-fit only,40 / 70 / 150,Fig. 2 / Fig. 7
D-101C-CORE,Top rail long-grain core sheet,1,0.8750,4.2500,16.2500,0.8750,4.2500,16.2500,continuous with member,J-C-CORE; one-piece core and one-piece-width faces,no joinery before lamination,no groove before lamination,lamination subpart for parent assembly,conditional on LS-05 no-resaw physical yield and coupon release,40 / 50 / 70,balanced-lamination section
