Stock label,Sequence,Operation ID,Target part(s),Segment count,Segment length,Crosscuts,Saw kerf,Operation length,End reserve,Total planned length,Rip / milling plan,Required yield,Status,Notes
STOCK-M,1,M-01,D-101H upper panel,3,15.5625,3,0.125,47.0625,2,49.0625,"After verifying the reported finished board, crosscut three shop billets, rip each to a staged width above 5.4584 inches, establish glue edges, and preserve aggregate jointed width for the oversize panel blank. Keep the 49-15/16-inch controlled tail intact before M-02",Three staves collectively at least 5/8 x 16-3/8 x 15-9/16 after jointing; 5.4584 inches minimum average jointed stave width,HOLD - VERIFIED MILLING REQUIRED,Keep the 49-15/16-inch controlled tail intact before M-02. D-101H has priority; two face billets remain conditional on a clear signed tail.
STOCK-M,2,M-02,Signed short-member face pool,2,16.25,2,0.125,32.75,0,32.75,"After D-101H passes, cut up to two clear mother billets from the retained tail and plane each whole-thickness billet to 5/16 on a verified carrier",Two 5/16-inch short-face mother billets at least 16-1/4 inches long; usable jointed widths recorded on FP-05,HOLD - AFTER PANEL AND SIGNED FACE-POOL MAP,M-01 and M-02 share STOCK-M's single 2-inch board-end reserve; the controlled full pattern leaves 17-3/16 inches on paper.
STOCK-B,1,B-01,D-101A-SF continuous hinge-stile show face,1,81.125,1,0.125,81.25,3.75,85,"Preserve full length; flatten and joint a 4-3/8-inch clear lane, then plane the whole board in shallow staged passes to a stable 5/16-inch lamella using a verified carrier below normal planer capacity",One continuous glue-ready lamella at least 5/16 x 4-3/8 x 81-1/8,STOP - CONTINUOUS FACE AND CARRIER-PLANING YIELD,"No end joint, through knot, check, pith, taper, or unstable grain is permitted."
STOCK-C,1,C-01,D-101B-SF continuous lock-stile show face plus longitudinal short-face strips,1,81.125,1,0.125,81.25,1.875,83.125,Preserve full length; establish a 4-3/8-inch face lane and retain the parallel longitudinal width offcut. Plane the whole-thickness face lane and eligible offcut strips in staged carrier-supported passes to 5/16.,One continuous glue-ready lamella at least 5/16 x 4-3/8 x 81-1/8 plus traceable 16-1/4-inch strips for FP-05 where jointed width survives,STOP - LENGTH-CRITICAL FACE YIELD,Only 2 inches of raw length exceed the 81-1/8-inch face target before the planned crosscut; the 1/8-inch kerf and 1-7/8-inch squared-end reserve consume that complete excess. Measure the actual clear squared length before cutting.
STOCK-D,1,D-01,D-101K and D-101L lower-panel pair,4,12.3125,4,0.125,49.75,2,51.75,"Crosscut four staves after defect mapping; flatten and joint them, then pair two per panel with mirrored grain and color",Four staves at least 5/8 x 3-11/16 x 12-5/16; two glue-ups each at least 5/8 x 7-3/8 x 12-5/16,HOLD - VERIFIED MILLING REQUIRED,The two finished lower panels must read as a deliberate visual pair.
STOCK-D,2,D-02,Signed short-member face pool,1,16.25,1,0.125,16.375,0,16.375,"After both lower panels pass, cut one clear mother billet from the retained tail and plane the whole-thickness billet to 5/16 on a verified carrier",One 5/16-inch short-face mother billet at least 16-1/4 inches long; usable jointed width recorded on FP-05,HOLD - AFTER PANELS AND SIGNED FACE-POOL MAP,D-01 and D-02 share STOCK-D's single 2-inch board-end reserve.
STOCK-E,1,E-01,Signed short-member face pool,3,16.25,3,0.125,49.125,2,51.125,"Map every knot and check first. Subject to FP-05, cut three clear mother billets and plane each whole-thickness billet to 5/16 in staged carrier-supported passes.",Three clear 5/16-inch short-face mother billets at least 16-1/4 inches long with signed usable widths,STOP - KNOT MAP AND FACE-POOL RELEASE,E-01 and F-01 together must provide at least five accepted 16-1/4-inch mother billets; FP-05 may redistribute the three-plus-two planning split without reducing the combined minimum.
STOCK-F,1,F-01,Signed short-member face pool,2,16.25,2,0.125,32.75,2,34.75,"Map every knot and check first. Subject to FP-05, cut two clear mother billets and plane each whole-thickness billet to 5/16 in staged carrier-supported passes.",Two clear 5/16-inch short-face mother billets at least 16-1/4 inches long with signed usable widths,STOP - KNOT MAP AND FACE-POOL RELEASE,"E-01 and F-01 together must provide at least five accepted 16-1/4-inch mother billets; no knot, bark inclusion, check, or unstable grain may enter a face or glue zone."
STOCK-G,1,G-01,D-101J center panel,4,16.0625,4,0.125,64.75,2,66.75,"The confirmed 15/16-inch S4S thickness passes the 5/8-inch minimum. After CHK-P-01 maps four clear billets, crosscut and make only the minimum glue-edge cleanup required; assemble in vertical-grain sequence.",Four S4S staves collectively at least 5/8 x 16-3/8 x 16-1/16 after glue-edge preparation; each starts 4-1/2 inches wide and 75 inches total length is available,CONDITIONAL - THICKNESS/WIDTH/LENGTH PASS; VERIFY PANEL MAP,"The confirmed 15/16-inch S4S thickness exceeds the 5/8-inch panel minimum by 5/16 inch. Width and length also pass: 18 inches aggregate current width and 8-1/4 inches before the shared 2-inch reserve, leaving a 6-1/4-inch planning tail. CHK-P-01 still controls physical yield."
STOCK-H,1,H-01,D-101N lower-center panel,3,10.8125,3,0.125,32.8125,2,34.8125,Crosscut three staves only after the board proves 5/8 thickness over every required segment; flatten minimally and joint glue edges,Three staves collectively at least 5/8 x 16-3/8 x 10-13/16 after jointing; 5.4584 inches minimum average jointed stave width,STOP - THICKNESS-CRITICAL PANEL YIELD,The 7/8-inch raw thickness has only 1/4 inch total flattening allowance.
STOCK-H,2,H-02,Signed short-member face pool,2,16.25,2,0.125,32.75,0,32.75,"After D-101N passes, cut two clear mother billets from the retained tail and plane each whole-thickness billet to 5/16 on a verified carrier",Two 5/16-inch short-face mother billets at least 16-1/4 inches long; usable jointed widths recorded on FP-05,HOLD - AFTER PANEL AND SIGNED FACE-POOL MAP,H-01 and H-02 share STOCK-H's single 2-inch board-end reserve.
STOCK-I,1,I-01,D-101B-CORE and D-101B-BF parallel continuous lanes,1,81.125,1,0.125,81.25,3.5,84.75,"Preserve full length; flatten and joint to at least 8-7/8 inches clear, then make one ordinary full-length width rip yielding two 4-3/8-inch lanes and one 1/8-inch kerf. Plane one lane to a 7/8-inch core and the other, in staged carrier-supported passes, to a 5/16-inch back face.",One continuous 7/8 x 4-3/8 x 81 core and one continuous 5/16 x 4-3/8 x 81-1/8 back face,"STOP - TWO-LANE WIDTH, LENGTH, AND THICKNESS YIELD","The 8-7/8-inch gate is exact: 4-3/8 + 1/8 kerf + 4-3/8. Keep the lock, groove, Domino, and glue zones clear; no end splice."
STOCK-J,1,J-01,D-101C/M-CORE + D-101F 6-1/2-inch wide core stave,3,16.25,3,0.125,49.125,2,51.125,"Under revised CM-05, J must prove one clear 6-1/2-inch width. Cut 3 x 16-1/4 mother billets; plane to 7/8; rip C/M at 4-1/4 and the F wide stave at 6-1/2. Save usable offcuts for FP-05.","One-piece C/M cores plus the continuous 6-1/2-inch F core stave, all 7/8 x 16-1/4; traceable offcuts",HOLD - SIGNED CORE/OFFCUT MAP,J-01 and J-02 share STOCK-J's single 2-inch board-end reserve.
STOCK-J,2,J-02,D-101G-CORE,1,12,1,0.125,12.125,0,12.125,"From the signed fourth clear envelope, plane the mother billet to 7/8 and width-rip the muntin core at 3-1/4 inches; retain the longitudinal width offcut for FP-05.",One continuous 7/8 x 3-1/4 x 12 muntin core plus a traceable face-pool width offcut,HOLD - SIGNED CORE/OFFCUT MAP,"The complete J pattern uses 60-3/4 inches of billets, four 1/8-inch kerfs, and one shared 2-inch reserve, leaving 16 inches on paper."
STOCK-K,1,K-01,D-101A-CORE and D-101A-BF parallel continuous lanes,1,81.125,1,0.125,81.25,1.25,82.5,"Preserve full length; flatten and joint to at least 8-7/8 inches clear, then make one ordinary full-length width rip yielding two 4-3/8-inch lanes and one 1/8-inch kerf. Plane one lane to a 7/8-inch core and the other, in staged carrier-supported passes, to a 5/16-inch back face.",One continuous 7/8 x 4-3/8 x 81 core and one continuous 5/16 x 4-3/8 x 81-1/8 back face,STOP - LENGTH-CRITICAL TWO-LANE YIELD,The 8-7/8-inch gate is exact. Only 1-3/8 inches of raw length exceed the face target; one 1/8-inch crosscut leaves 1-1/4 inches for both squared ends. No end splice.
